Marital status;Application mode;Application order;Course;Daytime/evening attendance	;Previous qualification;Previous qualification (grade);Nacionality;Mother's qualification;Father's qualification;Mother's occupation;Father's occupation;Admission grade;Displaced;Educational special needs;Debtor;Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;International;Curricular units 1st sem (credited);Curricular units 1st sem (enrolled);Curricular units 1st sem (evaluations);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 1st sem (without evaluations);Curricular units 2nd sem (credited);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (evaluations);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Curricular units 2nd sem (without evaluations);Unemployment rate;Inflation rate;GDP;Target
1;17;5.0;171;1;1;122.0;1;19;12;5;9;127.3;1;0;0;1;1;0;20.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.8;1.4;1.74;Dropout
1;15;1.0;9254;1;1;160.0;1;1;3;3;3;142.5;1;0;0;0;1;0;19.0;0;0.0;6.0;6.0;6.0;14.0;0.0;0.0;6.0;6.0;6.0;13.666666666666666;0.0;13.9;-0.3;0.79;Graduate
1;1;5.0;9070;1;1;122.0;1;37;37;9;9;124.8;1;0;0;0;1;0;19.0;0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;10.8;1.4;1.74;Dropout
1;17;2.0;9773;1;1;122.0;1;38;37;5;3;119.6;1;0;0;1;0;0;20.0;0;0.0;6.0;8.0;6.0;13.428571428571429;0.0;0.0;6.0;10.0;5.0;12.4;0.0;9.4;-0.8;-3.12;Graduate
2;39;1.0;8014;0;1;100.0;1;37;38;9;9;141.5;0;0;0;1;0;0;45.0;0;0.0;6.0;9.0;5.0;12.333333333333334;0.0;0.0;6.0;6.0;6.0;13.0;0.0;13.9;-0.3;0.79;Graduate
2;39;1.0;9991;0;19;133.1;1;37;37;9;7;114.8;0;0;1;1;1;0;50.0;0;0.0;5.0;10.0;5.0;11.857142857142858;0.0;0.0;5.0;17.0;5.0;11.5;5.0;16.2;0.3;-0.92;Graduate
1;1;1.0;9500;1;1;142.0;1;19;38;7;10;128.4;1;0;0;1;0;1;18.0;0;0.0;7.0;9.0;7.0;13.3;0.0;0.0;8.0;8.0;8.0;14.345;0.0;15.5;2.8;-4.06;Graduate
1;18;4.0;9254;1;1;119.0;1;37;37;9;9;113.1;1;0;0;0;1;0;22.0;0;0.0;5.0;5.0;0.0;0.0;0.0;0.0;5.0;5.0;0.0;0.0;0.0;15.5;2.8;-4.06;Dropout
1;1;3.0;9238;1;1;137.0;62;1;1;9;9;129.3;0;0;0;1;0;1;21.0;1;0.0;6.0;8.0;6.0;13.875;0.0;0.0;6.0;7.0;6.0;14.142857142857142;0.0;16.2;0.3;-0.92;Graduate
1;1;1.0;9238;1;1;138.0;1;1;19;4;7;123.0;1;0;1;0;0;0;18.0;0;0.0;6.0;9.0;5.0;11.4;0.0;0.0;6.0;14.0;2.0;13.5;0.0;8.9;1.4;3.51;Dropout
1;1;1.0;9670;1;1;139.0;1;38;19;5;7;130.6;1;0;0;1;0;0;18.0;0;0.0;6.0;6.0;6.0;12.333333333333334;0.0;0.0;6.0;7.0;5.0;14.2;0.0;13.9;-0.3;0.79;Graduate
1;1;1.0;9500;1;1;136.0;1;19;38;9;9;119.3;1;0;0;1;0;1;18.0;0;0.0;8.0;8.0;7.0;13.214285714285714;0.0;0.0;8.0;8.0;7.0;13.214285714285714;0.0;12.7;3.7;-1.7;Graduate
1;1;2.0;9853;1;1;133.0;1;19;37;4;9;130.2;1;0;0;1;0;0;19.0;0;0.0;6.0;6.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;12.7;3.7;-1.7;Dropout
1;53;1.0;9254;1;42;110.0;1;1;1;4;7;111.8;1;0;0;1;0;1;21.0;0;0.0;6.0;7.0;6.0;10.571428571428571;0.0;0.0;6.0;8.0;5.0;11.0;0.0;8.9;1.4;3.51;Graduate
1;1;1.0;9085;1;1;149.0;1;38;37;5;5;137.1;1;0;0;1;0;1;18.0;0;0.0;5.0;7.0;4.0;13.25;0.0;0.0;5.0;5.0;5.0;12.0;0.0;10.8;1.4;1.74;Graduate
1;1;1.0;9773;1;1;127.0;1;19;37;9;3;120.7;1;0;0;1;0;0;20.0;0;0.0;6.0;6.0;5.0;13.2;0.0;0.0;6.0;7.0;0.0;0.0;0.0;15.5;2.8;-4.06;Dropout
1;18;1.0;9238;1;1;137.0;1;19;38;5;8;137.4;1;0;0;1;0;0;18.0;0;0.0;6.0;10.0;1.0;12.0;0.0;0.0;6.0;14.0;2.0;11.0;0.0;10.8;1.4;1.74;Enrolled
1;17;2.0;9500;1;1;135.0;1;19;1;5;4;127.3;1;0;0;1;0;0;18.0;0;0.0;7.0;8.0;7.0;13.30625;0.0;0.0;8.0;8.0;8.0;14.545;0.0;15.5;2.8;-4.06;Graduate
1;1;1.0;9130;1;1;137.0;1;3;19;3;5;136.3;1;0;0;1;0;0;20.0;0;0.0;5.0;8.0;4.0;12.5;1.0;0.0;5.0;8.0;4.0;12.25;2.0;10.8;1.4;1.74;Graduate
1;1;1.0;9853;1;1;140.0;1;19;19;7;7;124.6;1;0;0;1;0;0;18.0;0;0.0;7.0;7.0;6.0;11.666666666666666;0.0;0.0;7.0;8.0;6.0;13.5;0.0;16.2;0.3;-0.92;Enrolled
1;1;3.0;171;1;1;122.0;1;1;1;9;8;120.3;0;0;0;1;0;1;21.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.1;0.6;2.02;Graduate
1;18;4.0;9556;1;1;127.0;1;1;38;4;7;121.8;1;0;0;1;0;0;20.0;0;0.0;7.0;14.0;7.0;11.4375;0.0;0.0;8.0;9.0;8.0;11.425;0.0;12.7;3.7;-1.7;Enrolled
1;1;4.0;9500;1;1;142.0;1;19;19;1;1;125.5;1;0;0;1;0;0;18.0;0;0.0;8.0;12.0;7.0;12.857142857142858;0.0;0.0;8.0;12.0;7.0;12.857142857142858;0.0;12.7;3.7;-1.7;Graduate
1;1;4.0;9670;1;1;125.0;1;1;38;4;7;114.9;1;0;0;1;0;1;19.0;0;0.0;6.0;8.0;6.0;13.375;0.0;0.0;6.0;7.0;6.0;12.285714285714286;0.0;11.1;0.6;2.02;Graduate
1;1;1.0;9500;1;1;126.0;1;19;19;3;7;123.9;0;0;0;1;0;0;19.0;0;0.0;7.0;8.0;6.0;13.296666666666669;0.0;0.0;8.0;9.0;7.0;14.114285714285714;0.0;11.1;0.6;2.02;Graduate
1;1;1.0;9238;1;1;151.0;1;19;38;9;9;157.0;1;0;1;1;0;1;18.0;0;0.0;6.0;8.0;5.0;11.6;0.0;0.0;6.0;12.0;4.0;11.0;0.0;7.6;2.6;0.32;Enrolled
1;17;2.0;9238;1;1;115.0;1;19;38;7;8;116.4;1;0;0;1;0;0;21.0;0;0.0;6.0;9.0;6.0;11.375;0.0;0.0;6.0;9.0;6.0;13.285714285714286;0.0;16.2;0.3;-0.92;Graduate
